model,loss,ratio,n_folds,pr_auc_mean,pr_auc_std,f1_mean,f1_std,mcc_mean,mcc_std,recall_at_90pct_prec_mean,recall_at_90pct_prec_std
mlp,bce,1to1,7,0.6079369237798121,0.17400621093303442,0.12134975608082073,0.0223893300209696,0.23808356804899214,0.02485987633432702,0.16682808716707023,0.24086941102633547
mlp,bce,1to10,7,0.7593288779366957,0.04043602227875959,0.6092231366185937,0.09365620153509788,0.641292526050586,0.07228006416832414,0.3261904761904762,0.40686893226483645
mlp,bce,1to100,7,0.7810502938202577,0.03921861946391257,0.8077312879735076,0.05101855468811518,0.8083156449866225,0.050246295209714534,0.5080306698950767,0.2708853896864329
mlp,bce,full,7,0.8373177940412536,0.040501453402074325,0.8225372329408742,0.033669784977529774,0.8245436482161658,0.03281496172649198,0.6855528652138821,0.1690399216307974
mlp,weighted_bce,1to1,7,0.6465630099367562,0.10535550020428797,0.11430075419355132,0.017280667537699263,0.2310801841643301,0.017567475254958057,0.13167877320419694,0.11920607503514705
mlp,weighted_bce,1to10,7,0.7509290138828305,0.035888247091405055,0.16020779795230466,0.03416189431912185,0.2775164417623378,0.032616317482795004,0.30238095238095236,0.379745110839296
mlp,weighted_bce,1to100,7,0.7315271176754686,0.04414865045161091,0.31599588061097383,0.06695006429545688,0.41076101066617116,0.05327674052092207,0.23809523809523808,0.3324591712212201
mlp,weighted_bce,full,7,0.756137251418189,0.05090407374849349,0.6513098003734333,0.10675736483679772,0.6743935076019865,0.08771550743932142,0.2957627118644068,0.2844254038152568
mlp,focal,1to1,7,0.5578441417916816,0.14546317810388004,0.1081353069322456,0.02079893326792949,0.2254283534865321,0.025085128411791897,0.08631961259079902,0.1311387607113912
mlp,focal,1to10,7,0.7595199523268664,0.049522022864268996,0.1557743253658432,0.033135430428052434,0.2727652578597201,0.030008112559603877,0.4006456820016142,0.3611942408171236
mlp,focal,1to100,7,0.7520899454166433,0.05562154239528047,0.16344415896948308,0.0325381106767479,0.280646765335193,0.03231344251619785,0.3483050847457627,0.2788161351691843
mlp,focal,full,7,0.7494299004156163,0.04727255881249901,0.09648979102588987,0.02128485697024075,0.2099118161250547,0.022896311296766374,0.2529862792574657,0.184889674905658
mlp_attention,bce,1to1,7,0.7226976354071015,0.059440925033157066,0.09509762949114746,0.014834061914752224,0.2098782213948591,0.017000561375454425,0.39911218724778047,0.28036157135991396
mlp_attention,bce,1to10,7,0.7260486602421486,0.03868110507175296,0.573914844848956,0.08485018683412397,0.6124981018420611,0.06459324318740997,0.09576271186440677,0.0615616165839433
mlp_attention,bce,1to100,7,0.7786571002669611,0.05073209282963883,0.8006968052253106,0.04416462238489997,0.80096407592781,0.04401525476126618,0.4747780468119452,0.21258081726183137
mlp_attention,bce,full,7,0.8316180993756526,0.04195979798199479,0.8194553088436816,0.04144257806491015,0.8194823511699008,0.04132959220545297,0.7221549636803875,0.09607189962586053
mlp_attention,weighted_bce,1to1,7,0.7332746274713166,0.06646873011346882,0.09492233864602347,0.01326472722593773,0.2089807040424661,0.015070721738189173,0.3514931396287328,0.24645106288555485
mlp_attention,weighted_bce,1to10,7,0.7333646293602544,0.05744576441636914,0.17303824666675222,0.03847648433508469,0.29013666567695484,0.033738829569561035,0.15298627925746572,0.15337455722836116
mlp_attention,weighted_bce,1to100,7,0.7169650282178754,0.0634846847078978,0.324571251163512,0.06817839588657298,0.4169110515610167,0.05706631911045945,0.13365617433414045,0.1631852085035341
mlp_attention,weighted_bce,full,7,0.7742486522093344,0.07905087754737428,0.6600719165701527,0.038659693733373385,0.6787202898514891,0.032725551239987195,0.4260694108151735,0.22784143511205346
mlp_attention,focal,1to1,7,0.735334455946643,0.04671863913930099,0.08493771146834063,0.005738863239829623,0.19754675885288941,0.008661480002335712,0.25863599677159,0.20588032751125912
mlp_attention,focal,1to10,7,0.7322043036142284,0.03911103855783016,0.14192483603616815,0.0376554207580876,0.2590998792503964,0.03458016603704517,0.09096045197740113,0.0729838401183775
mlp_attention,focal,1to100,7,0.752314825287424,0.054699338569427054,0.12366947528294188,0.034819979163397505,0.23977214542484557,0.03923649332604708,0.1983454398708636,0.15950194432022813
mlp_attention,focal,full,7,0.7619506919368967,0.05638821424983189,0.10445226674690371,0.03602720600565035,0.21748277131224755,0.03663635781220881,0.4727602905569007,0.26250436579761505
